0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
ruby-on-rails,microservices,javascript,software-analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mysql,oracle,php,vue-js,scrum,git,react,full-stack,back-end,agile,laravel,javascript,front-end,linux,,,,,,,,,,,,,,,,,,,
back-end,java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruby,sql,php,python,postgresql,back-end,software-developer,,,,,,,,,,,,,,,,,,,,,,,,,,
django,python,virtualization,docker,git,celery,api,back-end,,,,,,,,,,,,,,,,,,,,,,,,,
sql,postgresql,vue-js,power-bi,react,sql-server,english,javascript,front-end,debugging,data-visualization,,,,,,,,,,,,,,,,,,,,,,
mysql,sql,c-sharp,html5,c,net,css,postgresql,vue-js,power-bi,react,sql-server,api,rest,back-end,english,javascript,front-end,data-visualization,,,,,,,,,,,,,,
diseno-ui,marketing,diseno-web,redes-sociales,adobe-suite,photoshop,,,,,,,,,,,,,,,,,,,,,,,,,,,
marketing,facebook-ads,paid-media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marketing,advertising,ingeniero-comercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
analytics,seo,data-analysis,marketing,redes-sociales,advertising,english,cro,,,,,,,,,,,,,,,,,,,,,,,,,
project-management,paid-media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excel,marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diseno-ui,diseno-web,adobe-suite,graphic-design,photoshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diseno-ui,marketing,diseno-web,adobe-suite,graphic-design,advertising,photoshop,figma,,,,,,,,,,,,,,,,,,,,,,,,,
marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marketing,cro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
html5,css,marketing,graphic-design,advertising,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diseno-ui,marketing,diseno-web,redes-sociales,figma,audiovisual,,,,,,,,,,,,,,,,,,,,,,,,,,,
